Sep,F8-24AGN1,F8-24AGN1_low,F8-24AGN1_high,F8-24AGN2,F8-24AGN2_low,F8-24AGN2_high,F2-10AGN1,F2-10AGN1_low,F2-10AGN1_high,F2-10AGN2,F2-10AGN2_low,F2-10AGN2_high
50,1.6516e-13,0.000,7.787e-13,1.6449e-13,0.000,1.625e-13,1.4458e-13,0.000,1.048e-12,4.2551e-14,2.553e-15,4.184e-14
40,2.7367e-13,1.646e-13,2.751e-13,1.6209e-13,4.207e-14,1.668e-13,7.7872e-14,4.386e-14,7.787e-14,4.2465e-14,5.034e-15,4.616e-14
30,2.901e-13,1.923e-13,2.898e-13,1.7294e-13,7.403e-14,1.665e-13,7.1867e-14,4.182e-14,7.357e-14,4.9063e-14,9.399e-15,4.813e-14
20,2.6892e-13,1.112e-14,2.770e-13,2.0326e-13,1.495e-13,2.081e-13,8.6204e-14,3.088e-14,8.780e-14,5.3165e-14,2.174e-14,5.483e-14
18,2.9011e-13,1.170e-13,2.802e-13,1.5766e-13,2.698e-14,1.656e-13,7.4265e-14,2.826e-14,7.551e-14,3.9211e-14,4.797e-15,3.885e-14
16,2.9785e-13,1.319e-13,2.990e-13,1.8084e-13,0.000,1.945e-13,7.2857e-14,2.688e-14,7.511e-14,4.8794e-14,0.000,4.687e-14
14,3.2705e-13,2.388e-13,3.286e-13,1.4804e-13,0.000,1.319e-13,7.9477e-14,4.987e-14,8.122e-14,8.7221e-14,0.000,7.867e-14
12,3.655e-13,2.689e-13,3.660e-13,2.6816e-13,2.129e-13,2.747e-13,8.114e-14,5.037e-14,8.285e-14,5.4811e-14,3.598e-14,5.735e-14
10,3.4705e-13,2.841e-13,3.464e-13,3.1343e-13,2.258e-13,3.120e-13,7.8705e-14,5.227e-14,8.044e-14,7.3262e-14,2.216e-14,7.592e-14
8,3.9556e-13,2.771e-13,4.063e-13,3.8426e-13,2.620e-13,3.905e-13,1.1016e-13,8.138e-14,1.123e-13,9.7166e-14,7.529e-14,1.004e-13
6,4.2318e-13,3.390e-13,4.216e-13,3.8736e-13,1.806e-13,4.021e-13,1.0213e-13,6.971e-14,1.047e-13,9.7783e-14,3.358e-14,1.013e-13
4,4.5641e-13,3.548e-13,4.600e-13,4.5881e-13,3.838e-13,4.673e-13,9.7647e-14,6.631e-14,9.886e-14,9.6097e-14,7.701e-14,9.962e-14
2,4.8653e-13,4.000e-13,4.757e-13,4.8863e-13,3.689e-13,4.875e-13,9.5353e-14,6.554e-14,9.716e-14,9.7349e-14,7.589e-14,9.855e-14
0,4.6335e-13,3.389e-13,4.614e-13,4.6335e-13,3.500e-13,4.569e-13,1.0357e-13,8.046e-14,1.060e-13,1.0357e-13,7.282e-14,1.052e-13
